,firstname,lastname,gender,birthmonth,birthday,birthyear,course,phonenumber
57,name58,lastname58,Female,April,6,1997,BS Management Engineering,0918 851 8794
58,name59,lastname59,Male,April,24,1998,BS IT Entrepreneurship,0917 901 2860
59,name60,lastname60,Male,August,26,1999,BS IT Entrepreneurship,0918 681 5912
60,name61,lastname61,Female,September,8,1998,BS Communications Technology,0918 340 1320
61,name62,lastname62,Female,December,7,2000,BS IT Entrepreneurship,0927 551 1326
62,name63,lastname63,Male,February,22,2000,BS Management Engineering,0918 975 4142
63,name64,lastname64,Female,November,13,1997,BS IT Entrepreneurship,0917 466 1269
64,name65,lastname65,Female,March,23,1997,BS Management Engineering,0927 627 1302
65,name66,lastname66,Female,September,24,1997,BS Legal Management,0917 553 5101
66,name67,lastname67,Male,December,9,1997,BS Communications Technology,0917 442 5313
67,name68,lastname68,Male,November,4,2001,BS Management,0927 715 7133
68,name69,lastname69,Male,November,19,1998,BS Communications Technology,0917 448 4860
69,name70,lastname70,Female,May,12,1998,BS Legal Management,0917 255 1167
70,name71,lastname71,Female,August,19,1999,BS Communications Technology,0918 461 3486
71,name72,lastname72,Male,December,1,1999,BS Management,0927 347 7129
72,name73,lastname73,Male,June,21,1998,BS Management Engineering,0918 404 6593
73,name74,lastname74,Male,October,25,1997,BS Legal Management,0927 737 8051
74,name75,lastname75,Male,September,17,1998,BS IT Entrepreneurship,0927 348 7430
75,name76,lastname76,Female,February,2,1997,BS Communications Technology,0927 188 4940
76,name77,lastname77,Male,May,19,2000,BS Communications Technology,0918 961 3285
77,name78,lastname78,Female,September,15,2000,BS Management,0918 510 5817
78,name79,lastname79,Male,December,23,2000,BS Legal Management,0927 668 6229
79,name80,lastname80,Female,August,10,1999,BS Communications Technology,0927 229 9686
80,name81,lastname81,Male,February,1,1997,BS Communications Technology,0918 873 6019
81,name82,lastname82,Male,November,22,1997,BS Communications Technology,0918 376 7811
82,name83,lastname83,Female,June,18,2000,BS Management Engineering,0927 118 4679
83,name84,lastname84,Female,February,28,1999,BS IT Entrepreneurship,0917 236 2591
84,name85,lastname85,Female,January,10,1999,BS Legal Management,0927 128 1225
85,name86,lastname86,Male,November,21,1998,BS Management,0918 587 6655
86,name87,lastname87,Female,August,15,1998,BS IT Entrepreneurship,0918 945 8163
87,name88,lastname88,Male,January,26,1997,BS Management Engineering,0917 908 6005
88,name89,lastname89,Female,March,26,1998,BS IT Entrepreneurship,0917 367 9784
89,name90,lastname90,Male,March,15,1999,BS IT Entrepreneurship,0918 501 6913
90,name91,lastname91,Female,August,16,1997,BS IT Entrepreneurship,0918 823 1926
91,name92,lastname92,Male,December,8,1997,BS Management Engineering,0917 449 1492
92,name93,lastname93,Female,June,14,1998,BS IT Entrepreneurship,0927 196 1085
93,name94,lastname94,Male,November,24,1997,BS Legal Management,0918 768 1582
94,name95,lastname95,Female,September,6,2001,BS Communications Technology,0927 111 9326
95,name96,lastname96,Male,March,16,1999,BS Communications Technology,0917 699 1883
96,name97,lastname97,Female,January,19,1997,BS Management,0918 149 1873
97,name98,lastname98,Male,January,10,1998,BS IT Entrepreneurship,0927 615 1107
98,name99,lastname99,Male,May,12,1998,BS Communications Technology,0927 440 8773
99,name100,lastname100,Female,May,10,1999,BS Management,0927 787 2993
100,name101,lastname101,Female,April,2,1997,BS Communications Technology,0927 952 3919
101,name102,lastname102,Male,August,14,2001,BS Legal Management,0918 454 7163
102,name103,lastname103,Male,December,16,2000,BS Management Engineering,0927 148 8884
103,name104,lastname104,Female,July,16,2001,BS Communications Technology,0918 852 3413
104,name105,lastname105,Male,March,5,1999,BS IT Entrepreneurship,0917 502 7912
105,name106,lastname106,Female,August,25,1997,BS Communications Technology,0927 510 1038
106,name107,lastname107,Female,April,21,2001,BS Management,0927 958 1514
107,name108,lastname108,Male,May,14,1999,BS Management,0918 797 4867
108,name109,lastname109,Female,August,15,1998,BS Management Engineering,0917 615 3478
109,name110,lastname110,Male,January,8,1999,BS Management Engineering,0918 661 5521
110,name111,lastname111,Female,December,22,2001,BS Management Engineering,0918 401 1101
111,name112,lastname112,Female,May,19,1997,BS Management,0918 469 9048
112,name113,lastname113,Female,May,27,1997,BS IT Entrepreneurship,0917 389 5698
113,name114,lastname114,Female,August,22,1999,BS Communications Technology,0917 946 6274
114,name115,lastname115,Male,March,26,1998,BS IT Entrepreneurship,0917 236 8755
115,name116,lastname116,Female,July,19,1997,BS IT Entrepreneurship,0918 269 1384
116,name117,lastname117,Male,January,11,1997,BS Legal Management,0918 953 2016
117,name118,lastname118,Female,February,4,1999,BS Management Engineering,0918 752 1689
118,name119,lastname119,Male,December,27,1997,BS Legal Management,0927 259 3515
119,name120,lastname120,Female,February,3,1997,BS Legal Management,0918 732 2042
120,name121,lastname121,Female,March,5,2000,BS Legal Management,0918 137 1929
121,name122,lastname122,Female,March,1,2001,BS Legal Management,0917 898 5495
122,name123,lastname123,Female,April,23,1999,BS Legal Management,0918 479 2283
123,name124,lastname124,Male,February,2,1999,BS Management,0917 428 8800
124,name125,lastname125,Female,November,24,1998,BS Legal Management,0917 641 8280
125,name126,lastname126,Male,June,4,2000,BS Legal Management,0927 272 9008
126,name127,lastname127,Male,March,3,2000,BS Legal Management,0917 218 3720
127,name128,lastname128,Female,June,20,1998,BS Legal Management,0918 872 3714
128,name129,lastname129,Male,October,25,1998,BS Management Engineering,0927 399 5328
129,name130,lastname130,Female,July,18,2000,BS Management,0927 384 8421
130,name131,lastname131,Female,February,23,1999,BS Communications Technology,0927 278 9317
131,name132,lastname132,Male,September,10,1999,BS Legal Management,0927 450 3540
132,name133,lastname133,Female,April,18,1999,BS Communications Technology,0927 150 7228
133,name134,lastname134,Female,May,7,2000,BS Management,0918 995 5243
134,name135,lastname135,Female,October,3,1999,BS Communications Technology,0927 949 9628
135,name136,lastname136,Male,October,5,2000,BS Management,0927 558 1218
136,name137,lastname137,Female,June,5,1998,BS Management Engineering,0918 191 7948
137,name138,lastname138,Male,February,5,1997,BS IT Entrepreneurship,0918 636 6121
138,name139,lastname139,Male,April,8,1999,BS IT Entrepreneurship,0918 532 3276
139,name140,lastname140,Male,September,2,1999,BS Management Engineering,0927 795 1469
140,name141,lastname141,Male,June,8,1998,BS Legal Management,0927 430 8948
141,name142,lastname142,Female,December,3,1999,BS Legal Management,0918 659 4663
142,name143,lastname143,Female,November,15,1999,BS Management Engineering,0927 716 8308
143,name144,lastname144,Male,October,14,1998,BS Management Engineering,0917 855 4111
144,name145,lastname145,Male,February,9,2001,BS Management,0918 256 2335
145,name146,lastname146,Male,September,11,1998,BS Management,0927 248 8520
146,name147,lastname147,Male,December,6,1999,BS Legal Management,0917 856 9506
147,name148,lastname148,Female,November,13,2000,BS Legal Management,0927 989 2750
148,name149,lastname149,Male,September,18,1997,BS Management,0927 124 4294
149,name150,lastname150,Female,August,5,1997,BS Management Engineering,0918 162 5544
150,name151,lastname151,Female,May,17,1998,BS Legal Management,0918 469 2092
151,name152,lastname152,Female,March,15,1999,BS Legal Management,0927 145 1261
152,name153,lastname153,Male,November,2,1999,BS Management Engineering,0927 415 2246
153,name154,lastname154,Female,August,2,1999,BS Management,0918 331 9863
154,name155,lastname155,Female,December,14,1999,BS Legal Management,0918 649 2584
155,name156,lastname156,Female,April,3,1998,BS Management,0918 146 7027
156,name157,lastname157,Male,August,13,1997,BS Management Engineering,0927 475 9634
157,name158,lastname158,Female,January,28,1999,BS Legal Management,0927 594 6138
158,name159,lastname159,Female,October,12,1998,BS Management,0927 653 5975
159,name160,lastname160,Female,December,25,2000,BS Communications Technology,0917 137 6557
160,name161,lastname161,Male,January,1,2000,BS Communications Technology,0917 289 3619
161,name162,lastname162,Male,January,26,2000,BS Communications Technology,0917 388 6944
162,name163,lastname163,Female,April,17,1999,BS IT Entrepreneurship,0917 307 3272
163,name164,lastname164,Male,May,25,1997,BS IT Entrepreneurship,0917 925 9571
164,name165,lastname165,Male,August,12,1998,BS Management,0918 281 2519
165,name166,lastname166,Female,February,16,1999,BS Management Engineering,0918 536 9523
166,name167,lastname167,Female,April,4,2000,BS Management,0918 705 3266
167,name168,lastname168,Female,July,5,1997,BS Management Engineering,0927 511 1039
168,name169,lastname169,Female,April,13,1998,BS Management Engineering,0918 284 3059
169,name170,lastname170,Female,June,9,2000,BS IT Entrepreneurship,0927 797 7430
170,name171,lastname171,Female,August,17,1997,BS Legal Management,0918 227 4954
171,name172,lastname172,Female,September,24,2000,BS Communications Technology,0917 308 1448
172,name173,lastname173,Female,August,13,1998,BS Management Engineering,0917 180 6600
173,name174,lastname174,Male,October,19,1998,BS Management Engineering,0927 185 5392
174,name175,lastname175,Female,June,1,1999,BS Management Engineering,0917 492 1000
175,name176,lastname176,Female,June,9,1999,BS IT Entrepreneurship,0927 787 2528
176,name177,lastname177,Male,July,1,2001,BS Management Engineering,0927 614 7614
177,name178,lastname178,Female,June,12,2001,BS IT Entrepreneurship,0917 735 9355
178,name179,lastname179,Male,May,4,1998,BS Legal Management,0927 728 7081
179,name180,lastname180,Male,March,22,1999,BS IT Entrepreneurship,0917 257 4982
180,name181,lastname181,Female,March,27,1999,BS Management Engineering,0917 744 6240
181,name182,lastname182,Male,June,2,1998,BS Communications Technology,0917 502 7471
182,name183,lastname183,Female,June,17,1997,BS Management,0918 582 2278
183,name184,lastname184,Female,December,23,1998,BS IT Entrepreneurship,0927 891 4782
184,name185,lastname185,Male,April,18,1997,BS Management Engineering,0917 248 5615
185,name186,lastname186,Female,November,19,1997,BS Management Engineering,0918 859 3958
186,name187,lastname187,Male,April,18,2001,BS Legal Management,0917 575 5267
187,name188,lastname188,Male,September,2,1997,BS Management Engineering,0918 621 4437
188,name189,lastname189,Female,December,7,2000,BS Management,0918 447 8973
189,name190,lastname190,Male,July,6,1997,BS Management,0918 409 2087
190,name191,lastname191,Male,May,7,1999,BS Legal Management,0918 742 1522
191,name192,lastname192,Male,July,9,1999,BS IT Entrepreneurship,0917 222 5936
192,name193,lastname193,Female,May,25,1997,BS Management Engineering,0918 730 6896
193,name194,lastname194,Male,September,2,1998,BS Legal Management,0917 399 8033
194,name195,lastname195,Female,July,15,2001,BS Management Engineering,0917 818 9641
195,name196,lastname196,Male,May,6,2001,BS Management Engineering,0927 486 8768
196,name197,lastname197,Female,October,24,2001,BS Management Engineering,0918 708 8549
197,name198,lastname198,Female,June,15,1997,BS Legal Management,0927 642 6498
198,name199,lastname199,Female,January,4,1999,BS Communications Technology,0927 536 3811
199,name200,lastname200,Female,November,13,1998,BS Management,0918 621 7426
200,name201,lastname201,Female,October,27,1997,BS Management,0917 681 9326
201,name202,lastname202,Female,April,15,2000,BS Management,0918 341 5085
202,name203,lastname203,Female,March,25,1998,BS Management Engineering,0918 419 5644
203,name204,lastname204,Male,November,4,1997,BS IT Entrepreneurship,0927 383 5918
204,name205,lastname205,Female,March,12,2000,BS Management,0917 173 4981
205,name206,lastname206,Female,December,19,1997,BS Management Engineering,0917 309 4697
206,name207,lastname207,Male,November,27,2000,BS IT Entrepreneurship,0918 744 5680
207,name208,lastname208,Male,October,20,1999,BS Communications Technology,0918 314 3702
208,name209,lastname209,Female,March,16,1999,BS Communications Technology,0917 764 8372
209,name210,lastname210,Female,April,2,1998,BS IT Entrepreneurship,0927 750 7712
210,name211,lastname211,Female,January,26,1999,BS Management,0927 744 7095
211,name212,lastname212,Male,November,2,1999,BS Management,0917 600 5892
212,name213,lastname213,Female,August,23,1999,BS Management,0918 482 4436
213,name214,lastname214,Female,June,8,1999,BS Communications Technology,0917 229 1656
214,name215,lastname215,Female,November,1,1998,BS Communications Technology,0917 129 7511
215,name216,lastname216,Female,October,23,1999,BS Legal Management,0927 931 6222
216,name217,lastname217,Male,May,2,1998,BS Management Engineering,0917 510 8517
217,name218,lastname218,Female,April,19,2001,BS Communications Technology,0927 859 9615
218,name219,lastname219,Female,May,28,1997,BS IT Entrepreneurship,0918 883 3812
219,name220,lastname220,Female,March,25,2001,BS Management,0927 855 3696
220,name221,lastname221,Male,July,12,2001,BS Management Engineering,0917 869 1592
221,name222,lastname222,Male,September,5,1999,BS Legal Management,0927 390 2398
222,name223,lastname223,Male,February,9,1997,BS Management,0918 250 3159
223,name224,lastname224,Female,December,18,2001,BS Management,0917 914 1992
224,name225,lastname225,Male,February,27,1998,BS Management Engineering,0917 168 1549
225,name226,lastname226,Female,March,12,1997,BS Legal Management,0918 812 9824
226,name227,lastname227,Female,October,8,1997,BS Management,0918 676 3675
227,name228,lastname228,Female,November,16,1999,BS Management,0927 616 9286
228,name229,lastname229,Male,June,11,1999,BS Legal Management,0927 975 8823
229,name230,lastname230,Female,December,4,1997,BS Communications Technology,0917 559 2469
230,name231,lastname231,Male,May,22,1998,BS IT Entrepreneurship,0927 597 2823
231,name232,lastname232,Male,April,17,2000,BS Management,0917 418 9979
232,name233,lastname233,Male,June,13,2001,BS Management Engineering,0927 523 4422
233,name234,lastname234,Male,February,6,1997,BS Communications Technology,0917 911 6706
234,name235,lastname235,Male,July,7,1999,BS Management,0918 656 9527
235,name236,lastname236,Male,October,23,1998,BS Management,0917 251 3024
236,name237,lastname237,Male,December,14,1998,BS Legal Management,0927 940 8616
237,name238,lastname238,Male,March,4,2000,BS Communications Technology,0917 261 3868
238,name239,lastname239,Male,February,5,1997,BS Legal Management,0927 976 2990
239,name240,lastname240,Male,April,21,2001,BS Legal Management,0917 962 2388
240,name241,lastname241,Female,September,7,2000,BS Communications Technology,0917 560 3594
241,name242,lastname242,Female,June,1,1998,BS IT Entrepreneurship,0917 267 6749
242,name243,lastname243,Male,November,19,1998,BS Communications Technology,0918 388 9243
243,name244,lastname244,Male,January,1,2000,BS Communications Technology,0918 418 8388
244,name245,lastname245,Female,March,5,1999,BS Management Engineering,0918 387 4071
245,name246,lastname246,Female,January,26,1998,BS Communications Technology,0918 871 2841
246,name247,lastname247,Female,August,3,1998,BS Management,0917 242 3611
247,name248,lastname248,Male,March,22,1998,BS Legal Management,0917 213 2389
248,name249,lastname249,Male,December,9,2000,BS Management Engineering,0917 548 3044
249,name250,lastname250,Female,May,24,2001,BS Management Engineering,0927 264 6574
250,name251,lastname251,Female,January,9,2000,BS Communications Technology,0917 582 8763
251,name252,lastname252,Male,December,6,2001,BS Management,0927 800 6849
252,name253,lastname253,Female,April,18,1997,BS Management Engineering,0918 414 2565
253,name254,lastname254,Female,August,3,1997,BS Communications Technology,0917 984 6143
254,name255,lastname255,Male,January,6,2001,BS Management Engineering,0927 234 8693
255,name256,lastname256,Male,December,7,1997,BS Management,0918 944 9432
256,name257,lastname257,Female,April,19,1997,BS IT Entrepreneurship,0917 996 8937
257,name258,lastname258,Female,June,7,2001,BS IT Entrepreneurship,0917 169 7326
258,name259,lastname259,Male,March,20,1999,BS IT Entrepreneurship,0927 916 1852
259,name260,lastname260,Male,November,15,2000,BS Communications Technology,0917 843 5692
260,name261,lastname261,Male,June,4,1997,BS Legal Management,0918 456 7658
261,name262,lastname262,Female,July,26,1998,BS Communications Technology,0917 771 4152
262,name263,lastname263,Male,January,1,2000,BS Management,0917 773 4858
263,name264,lastname264,Male,November,1,2001,BS IT Entrepreneurship,0918 108 6505
264,name265,lastname265,Female,November,26,2001,BS Management,0918 332 9306
265,name266,lastname266,Female,December,5,1997,BS Management,0917 551 8922
266,name267,lastname267,Male,July,5,1999,BS Legal Management,0917 537 9153
267,name268,lastname268,Female,October,21,1999,BS Management Engineering,0927 373 9092
268,name269,lastname269,Female,October,18,2001,BS Legal Management,0918 441 7553
269,name270,lastname270,Female,April,24,1998,BS IT Entrepreneurship,0927 395 8754
270,name271,lastname271,Female,March,25,1997,BS Management Engineering,0918 351 3825
271,name272,lastname272,Female,July,27,1997,BS IT Entrepreneurship,0917 275 1598
272,name273,lastname273,Female,August,7,1999,BS Communications Technology,0927 511 6858
273,name274,lastname274,Female,January,5,1997,BS Management,0917 580 5437
274,name275,lastname275,Male,April,20,1998,BS Communications Technology,0917 418 9759
275,name276,lastname276,Female,January,12,2001,BS IT Entrepreneurship,0917 559 3566
276,name277,lastname277,Female,December,24,1999,BS Legal Management,0927 416 3898
277,name278,lastname278,Female,February,8,1997,BS Management,0917 735 6446
278,name279,lastname279,Female,October,12,1998,BS Legal Management,0927 359 4345
279,name280,lastname280,Female,November,15,2000,BS Management,0918 183 9884
280,name281,lastname281,Male,February,12,1997,BS Management,0918 541 2404
281,name282,lastname282,Male,March,23,1998,BS Management,0918 393 1948
282,name283,lastname283,Female,November,3,1997,BS IT Entrepreneurship,0918 927 3119
283,name284,lastname284,Male,August,13,1999,BS Communications Technology,0927 868 4707
284,name285,lastname285,Male,September,17,1998,BS Communications Technology,0927 419 8095
285,name286,lastname286,Male,December,28,1999,BS IT Entrepreneurship,0927 907 8179
286,name287,lastname287,Male,February,18,1998,BS Communications Technology,0917 992 5274
287,name288,lastname288,Female,April,4,2001,BS IT Entrepreneurship,0917 527 6893
288,name289,lastname289,Male,October,15,1997,BS Management Engineering,0917 756 9357
289,name290,lastname290,Female,July,8,1997,BS Management Engineering,0918 927 4291
290,name291,lastname291,Female,December,27,2000,BS Management,0918 974 1369
291,name292,lastname292,Female,January,25,1999,BS Communications Technology,0917 878 8313
292,name293,lastname293,Male,March,1,1999,BS Management Engineering,0927 608 4808
293,name294,lastname294,Male,January,14,1998,BS Legal Management,0918 983 8521
294,name295,lastname295,Male,November,19,1999,BS IT Entrepreneurship,0918 345 5057
295,name296,lastname296,Male,April,26,1999,BS Management,0927 416 2499
296,name297,lastname297,Female,November,10,2000,BS Legal Management,0917 620 1837
297,name298,lastname298,Female,January,8,1999,BS Management,0927 291 3676
298,name299,lastname299,Male,February,18,1998,BS Management,0927 348 6668
299,name300,lastname300,Male,May,22,1997,BS Communications Technology,0918 815 5153
300,name301,lastname301,Female,April,27,1999,BS Legal Management,0927 285 5378
301,name302,lastname302,Female,May,1,2001,BS Legal Management,0918 511 3241
302,name303,lastname303,Male,December,18,1997,BS Legal Management,0917 739 1115
303,name304,lastname304,Male,September,18,2000,BS Communications Technology,0918 533 7507
304,name305,lastname305,Male,January,15,1997,BS Management,0917 641 8911
305,name306,lastname306,Female,March,3,1998,BS Legal Management,0917 155 3009
306,name307,lastname307,Male,February,12,2000,BS IT Entrepreneurship,0918 386 6738
307,name308,lastname308,Male,December,13,1998,BS Communications Technology,0927 827 6122
308,name309,lastname309,Male,November,8,1998,BS Management,0917 132 5014
309,name310,lastname310,Male,August,21,1998,BS IT Entrepreneurship,0918 225 1879
310,name311,lastname311,Male,June,23,1998,BS Management Engineering,0918 704 4147
311,name312,lastname312,Female,May,16,1999,BS Management Engineering,0918 284 8832
312,name313,lastname313,Female,August,8,1997,BS IT Entrepreneurship,0917 379 9404
313,name314,lastname314,Male,July,19,1998,BS Management,0918 131 5008
314,name315,lastname315,Female,December,19,1998,BS Legal Management,0917 656 2606
315,name316,lastname316,Male,April,14,2001,BS Communications Technology,0927 212 2224
316,name317,lastname317,Male,September,16,1997,BS Management Engineering,0918 458 4727
317,name318,lastname318,Male,March,5,1999,BS Communications Technology,0917 462 5719
318,name319,lastname319,Male,August,10,2000,BS Management Engineering,0927 239 1604
319,name320,lastname320,Male,July,21,1997,BS Management,0917 854 8646
320,name321,lastname321,Female,August,26,1997,BS Communications Technology,0927 414 7766
321,name322,lastname322,Female,June,14,1999,BS Legal Management,0918 600 7855
322,name323,lastname323,Male,June,8,1998,BS Management,0917 308 8490
323,name324,lastname324,Male,July,21,1998,BS Management Engineering,0918 788 7131
324,name325,lastname325,Female,March,24,1998,BS Management Engineering,0917 557 5935
325,name326,lastname326,Female,February,24,2000,BS Communications Technology,0918 561 3677
326,name327,lastname327,Male,July,16,1997,BS IT Entrepreneurship,0917 604 7756
327,name328,lastname328,Female,June,1,1999,BS IT Entrepreneurship,0917 992 5461
328,name329,lastname329,Female,December,5,1997,BS IT Entrepreneurship,0918 451 8833
329,name330,lastname330,Male,July,3,1998,BS IT Entrepreneurship,0918 158 9284
330,name331,lastname331,Female,January,26,1998,BS Management,0927 146 5990
331,name332,lastname332,Female,April,18,1999,BS Legal Management,0918 299 4084
332,name333,lastname333,Male,June,17,2000,BS Communications Technology,0927 779 3123
333,name334,lastname334,Male,January,2,1998,BS Legal Management,0927 182 1332
334,name335,lastname335,Female,May,21,1999,BS Communications Technology,0918 169 5036
335,name336,lastname336,Male,April,11,1999,BS IT Entrepreneurship,0918 152 3167
336,name337,lastname337,Male,December,8,1998,BS Management,0927 503 8110
337,name338,lastname338,Male,September,20,2001,BS Communications Technology,0927 746 2862
338,name339,lastname339,Female,April,22,2000,BS IT Entrepreneurship,0918 233 2323
339,name340,lastname340,Female,June,4,1999,BS Legal Management,0917 685 3086
340,name341,lastname341,Female,August,22,1999,BS Management,0917 949 6688
341,name342,lastname342,Male,July,2,1999,BS Management,0917 306 7389
342,name343,lastname343,Male,December,18,1998,BS Legal Management,0917 431 1238
343,name344,lastname344,Male,July,13,2000,BS IT Entrepreneurship,0918 185 7288
344,name345,lastname345,Male,April,19,1999,BS IT Entrepreneurship,0918 269 8208
345,name346,lastname346,Female,July,19,2000,BS IT Entrepreneurship,0917 816 8886
346,name347,lastname347,Male,March,21,1998,BS IT Entrepreneurship,0918 386 4602
347,name348,lastname348,Female,January,13,1997,BS IT Entrepreneurship,0917 728 4754
348,name349,lastname349,Female,February,18,1999,BS Management Engineering,0918 636 8281
349,name350,lastname350,Male,September,17,1997,BS Management Engineering,0917 301 6396
350,name351,lastname351,Female,December,21,1997,BS Legal Management,0917 683 8576
351,name352,lastname352,Male,February,28,1997,BS Management,0917 897 3550
352,name353,lastname353,Female,June,11,2001,BS Communications Technology,0927 205 9262
353,name354,lastname354,Female,February,16,1997,BS IT Entrepreneurship,0918 120 1113
354,name355,lastname355,Female,April,1,1999,BS Communications Technology,0927 831 9943
355,name356,lastname356,Male,July,26,2001,BS Management,0918 111 2365
356,name357,lastname357,Male,August,5,1997,BS Communications Technology,0927 733 6775
357,name358,lastname358,Female,August,17,1999,BS IT Entrepreneurship,0917 354 8160
358,name359,lastname359,Female,December,18,2000,BS Management,0927 612 3910
359,name360,lastname360,Male,May,11,1999,BS Management,0927 228 4106
360,name361,lastname361,Male,February,9,2001,BS Legal Management,0918 211 1764
361,name362,lastname362,Male,September,27,2001,BS Management Engineering,0917 340 3848
362,name363,lastname363,Male,October,21,1997,BS Management,0927 317 3533
363,name364,lastname364,Female,January,8,1997,BS Management,0927 592 8138
364,name365,lastname365,Female,July,6,1999,BS Management Engineering,0917 102 3528
365,name366,lastname366,Male,November,13,1997,BS IT Entrepreneurship,0918 384 3861
366,name367,lastname367,Male,May,15,1998,BS IT Entrepreneurship,0917 277 1823
367,name368,lastname368,Male,June,22,2000,BS IT Entrepreneurship,0927 594 7966
368,name369,lastname369,Male,March,1,2000,BS Management Engineering,0927 195 7539
369,name370,lastname370,Female,September,3,2001,BS IT Entrepreneurship,0927 126 8314
370,name371,lastname371,Female,January,26,1998,BS Legal Management,0927 788 6832
371,name372,lastname372,Female,August,25,1997,BS Communications Technology,0917 768 3190
372,name373,lastname373,Male,April,4,1998,BS Communications Technology,0927 499 8056
373,name374,lastname374,Male,March,6,1998,BS Communications Technology,0917 196 2990
374,name375,lastname375,Male,August,21,1999,BS IT Entrepreneurship,0918 187 3716
375,name376,lastname376,Male,April,24,1998,BS Management Engineering,0917 691 7182
376,name377,lastname377,Female,February,9,1998,BS IT Entrepreneurship,0927 256 3795
377,name378,lastname378,Male,December,5,1999,BS Communications Technology,0927 176 7320
378,name379,lastname379,Male,January,26,1997,BS Communications Technology,0927 360 1774
