firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber
name306,lastname306,March,3,98,BS Legal Management,+639171553009
name307,lastname307,February,12,00,BS IT Entrepreneurship,+639183866738
name308,lastname308,December,13,98,BS Comtech,+639278276122
name309,lastname309,November,8,98,BS Management,+639171325014
name310,lastname310,August,21,98,BS IT Entrepreneurship,+639182251879
name311,lastname311,June,23,98,BS Management Engineering,+639187044147
name312,lastname312,May,16,99,BS Management Engineering,+639182848832
name313,lastname313,August,8,97,BS IT Entrepreneurship,+639173799404
name314,lastname314,July,19,98,BS Management,+639181315008
name315,lastname315,December,19,98,BS Legal Management,+639176562606
name316,lastname316,April,14,01,BS Comtech,+639272122224
name317,lastname317,September,16,97,BS Management Engineering,+639184584727
name318,lastname318,March,5,99,BS Comtech,+639174625719
name319,lastname319,August,10,00,BS Management Engineering,+639272391604
name320,lastname320,July,21,97,BS Management,+639178548646
name321,lastname321,August,26,97,BS Comtech,+639274147766
name322,lastname322,June,14,99,BS Legal Management,+639186007855
name323,lastname323,June,8,98,BS Management,+639173088490
name324,lastname324,July,21,98,BS Management Engineering,+639187887131
name325,lastname325,March,24,98,BS Management Engineering,+639175575935
name326,lastname326,February,24,00,BS Comtech,+639185613677
name327,lastname327,July,16,97,BS IT Entrepreneurship,+639176047756
name328,lastname328,June,1,99,BS IT Entrepreneurship,+639179925461
name329,lastname329,December,5,97,BS IT Entrepreneurship,+639184518833
name330,lastname330,July,3,98,BS IT Entrepreneurship,+639181589284
name331,lastname331,January,26,98,BS Management,+639271465990
name332,lastname332,April,18,99,BS Legal Management,+639182994084
name333,lastname333,June,17,00,BS Comtech,+639277793123
name334,lastname334,January,2,98,BS Legal Management,+639271821332
name335,lastname335,May,21,99,BS Comtech,+639181695036
name336,lastname336,April,11,99,BS IT Entrepreneurship,+639181523167
name337,lastname337,December,8,98,BS Management,+639275038110
name338,lastname338,September,20,01,BS Comtech,+639277462862
name339,lastname339,April,22,00,BS IT Entrepreneurship,+639182332323
name340,lastname340,June,4,99,BS Legal Management,+639176853086
name341,lastname341,August,22,99,BS Management,+639179496688
name342,lastname342,July,2,99,BS Management,+639173067389
name343,lastname343,December,18,98,BS Legal Management,+639174311238
name344,lastname344,July,13,00,BS IT Entrepreneurship,+639181857288
name345,lastname345,April,19,99,BS IT Entrepreneurship,+639182698208
name346,lastname346,July,19,00,BS IT Entrepreneurship,+639178168886
name347,lastname347,March,21,98,BS IT Entrepreneurship,+639183864602
name348,lastname348,January,13,97,BS IT Entrepreneurship,+639177284754
name349,lastname349,February,18,99,BS Management Engineering,+639186368281
name350,lastname350,September,17,97,BS Management Engineering,+639173016396
name351,lastname351,December,21,97,BS Legal Management,+639176838576
name352,lastname352,February,28,97,BS Management,+639178973550
name353,lastname353,June,11,01,BS Comtech,+639272059262
name354,lastname354,February,16,97,BS IT Entrepreneurship,+639181201113
name355,lastname355,April,1,99,BS Comtech,+639278319943
name356,lastname356,July,26,01,BS Management,+639181112365
name357,lastname357,August,5,97,BS Comtech,+639277336775
name358,lastname358,August,17,99,BS IT Entrepreneurship,+639173548160
name359,lastname359,December,18,00,BS Management,+639276123910
name360,lastname360,May,11,99,BS Management,+639272284106
name361,lastname361,February,9,01,BS Legal Management,+639182111764
name362,lastname362,September,27,01,BS Management Engineering,+639173403848
name363,lastname363,October,21,97,BS Management,+639273173533
name364,lastname364,January,8,97,BS Management,+639275928138
name365,lastname365,July,6,99,BS Management Engineering,+639171023528
name366,lastname366,November,13,97,BS IT Entrepreneurship,+639183843861
name367,lastname367,May,15,98,BS IT Entrepreneurship,+639172771823
name368,lastname368,June,22,00,BS IT Entrepreneurship,+639275947966
name369,lastname369,March,1,00,BS Management Engineering,+639271957539
name370,lastname370,September,3,01,BS IT Entrepreneurship,+639271268314
name371,lastname371,January,26,98,BS Legal Management,+639277886832
name372,lastname372,August,25,97,BS Comtech,+639177683190
name373,lastname373,April,4,98,BS Comtech,+639274998056
name374,lastname374,March,6,98,BS Comtech,+639171962990
name375,lastname375,August,21,99,BS IT Entrepreneurship,+639181873716
name376,lastname376,April,24,98,BS Management Engineering,+639176917182
name377,lastname377,February,9,98,BS IT Entrepreneurship,+639272563795
name378,lastname378,December,5,99,BS Comtech,+639271767320
name379,lastname379,January,26,97,BS Comtech,+639273601774
name380,lastname380,March,12,98,BS Management,+639279901362
name381,lastname381,November,21,98,BS Management,+639183348614
name382,lastname382,June,14,99,BS IT Entrepreneurship,+639176888237
name383,lastname383,July,27,99,BS Management Engineering,+639275477228
name384,lastname384,February,6,97,BS Legal Management,+639277311675
name385,lastname385,September,18,98,BS Legal Management,+639183898961
name386,lastname386,October,6,99,BS Management Engineering,+639275684260
name387,lastname387,June,16,99,BS Management,+639274771635
name388,lastname388,January,2,00,BS IT Entrepreneurship,+639172616867
name389,lastname389,September,24,99,BS Comtech,+639275082670
name390,lastname390,January,21,00,BS Management Engineering,+639172936725
name391,lastname391,December,16,00,BS Management,+639274874223
name392,lastname392,August,2,99,BS IT Entrepreneurship,+639177634974
name393,lastname393,June,28,98,BS Legal Management,+639177936625
name394,lastname394,June,13,99,BS IT Entrepreneurship,+639275523618
name395,lastname395,January,23,01,BS Management,+639171871504
name396,lastname396,September,19,99,BS Legal Management,+639176556808
name397,lastname397,January,8,99,BS Management Engineering,+639184414937
name398,lastname398,September,2,99,BS Legal Management,+639178072225
name399,lastname399,August,25,01,BS Management,+639275893638
name400,lastname400,February,9,99,BS Management,+639177856859
name401,lastname401,October,3,98,BS Management,+639185935046
name402,lastname402,March,4,01,BS IT Entrepreneurship,+639184868396
name403,lastname403,June,20,98,BS IT Entrepreneurship,+639172819618
name404,lastname404,May,23,97,BS Comtech,+639176218869
name405,lastname405,November,4,99,BS Management Engineering,+639279246856
name406,lastname406,December,11,98,BS Management Engineering,+639181847364
name407,lastname407,May,17,98,BS Management,+639277944417
name408,lastname408,July,17,01,BS Management,+639274727168
name409,lastname409,August,1,97,BS Management Engineering,+639184832009
name410,lastname410,August,22,97,BS Comtech,+639173478315
name411,lastname411,February,20,98,BS IT Entrepreneurship,+639178813071
name412,lastname412,February,10,99,BS Management,+639176817070
name413,lastname413,May,9,97,BS Management Engineering,+639172773163
name414,lastname414,June,5,01,BS IT Entrepreneurship,+639173672247
name415,lastname415,November,15,99,BS IT Entrepreneurship,+639279968602
name416,lastname416,May,25,98,BS Comtech,+639172113821
name417,lastname417,June,12,97,BS Management Engineering,+639271375483
name418,lastname418,February,22,98,BS IT Entrepreneurship,+639271461580
name419,lastname419,February,14,99,BS Management,+639176864318
name420,lastname420,May,7,99,BS Management,+639188707055
name421,lastname421,June,27,01,BS Comtech,+639173068677
name422,lastname422,July,3,97,BS Comtech,+639273648721
name423,lastname423,September,14,00,BS Management,+639175205319
name424,lastname424,April,6,98,BS Management,+639188126741
name425,lastname425,April,14,99,BS Management,+639187844632
name426,lastname426,March,15,00,BS Management Engineering,+639271038881
name427,lastname427,November,13,97,BS Management,+639278698588
name428,lastname428,April,19,98,BS Comtech,+639183738418
name429,lastname429,November,10,01,BS Comtech,+639183137865
name430,lastname430,February,5,01,BS Comtech,+639278042579
name431,lastname431,June,5,98,BS Management Engineering,+639176483069
name432,lastname432,March,27,01,BS Comtech,+639273291747
name433,lastname433,November,17,97,BS Management,+639272979518
name434,lastname434,December,14,97,BS Management Engineering,+639279316877
name435,lastname435,August,23,00,BS IT Entrepreneurship,+639173072012
name436,lastname436,January,13,98,BS IT Entrepreneurship,+639172434142
name437,lastname437,February,28,01,BS Comtech,+639271165889
name438,lastname438,May,24,00,BS Legal Management,+639177469784
name439,lastname439,April,13,98,BS Legal Management,+639172283833
name440,lastname440,May,14,97,BS Legal Management,+639178963614
name441,lastname441,May,28,99,BS Management Engineering,+639272929675
name442,lastname442,July,23,99,BS Comtech,+639187861587
name443,lastname443,January,20,99,BS IT Entrepreneurship,+639183159445
name444,lastname444,April,16,99,BS Comtech,+639181853883
name445,lastname445,September,23,97,BS Legal Management,+639181338176
name446,lastname446,July,16,00,BS Legal Management,+639171589222
name447,lastname447,May,26,98,BS Comtech,+639187772751
name448,lastname448,January,23,98,BS Comtech,+639184076344
name449,lastname449,April,26,97,BS IT Entrepreneurship,+639189921668
name450,lastname450,March,28,01,BS Management,+639186619609
name451,lastname451,March,26,00,BS Legal Management,+639185544787
name452,lastname452,December,27,98,BS Legal Management,+639271968999
name453,lastname453,October,24,99,BS IT Entrepreneurship,+639277686004
name454,lastname454,August,3,99,BS IT Entrepreneurship,+639185636928
name455,lastname455,March,4,99,BS Management Engineering,+639279921613
name456,lastname456,March,21,00,BS Management,+639189665429
name457,lastname457,December,24,97,BS IT Entrepreneurship,+639179506481
name458,lastname458,January,11,98,BS IT Entrepreneurship,+639271748702
name459,lastname459,January,26,01,BS IT Entrepreneurship,+639278105085
name460,lastname460,April,26,97,BS Legal Management,+639189555912
name461,lastname461,April,14,97,BS Comtech,+639173654093
name462,lastname462,August,13,00,BS Legal Management,+639271614112
name463,lastname463,December,9,01,BS Management Engineering,+639277126963
name464,lastname464,January,24,99,BS Comtech,+639186943625
name465,lastname465,February,27,99,BS Management Engineering,+639272216429
name466,lastname466,February,5,97,BS Legal Management,+639183809040
name467,lastname467,October,26,99,BS IT Entrepreneurship,+639173195070
name468,lastname468,June,8,00,BS Comtech,+639187995285
name469,lastname469,August,8,99,BS IT Entrepreneurship,+639189415488
name470,lastname470,June,21,98,BS IT Entrepreneurship,+639275342876
name471,lastname471,May,24,99,BS Comtech,+639179085006
name472,lastname472,January,28,99,BS Management Engineering,+639274024494
name473,lastname473,December,7,99,BS Management Engineering,+639187543507
name474,lastname474,November,19,98,BS Management,+639275595075
name475,lastname475,September,7,98,BS IT Entrepreneurship,+639277337323
name476,lastname476,March,7,98,BS Management,+639186463244
name477,lastname477,November,20,00,BS Management Engineering,+639173208047
name478,lastname478,August,4,98,BS Management,+639177593071
name479,lastname479,May,19,99,BS Management Engineering,+639188709843
name480,lastname480,June,3,97,BS IT Entrepreneurship,+639272176206
name481,lastname481,August,14,99,BS Management Engineering,+639278615556
name482,lastname482,January,20,00,BS Legal Management,+639275455153
name483,lastname483,November,17,00,BS Legal Management,+639183735268
name484,lastname484,June,10,98,BS Management,+639172005708
name485,lastname485,July,3,97,BS Management Engineering,+639184172231
name486,lastname486,May,9,98,BS Management,+639171794262
name487,lastname487,November,10,97,BS IT Entrepreneurship,+639176954286
name488,lastname488,November,16,98,BS Management Engineering,+639184018010
name489,lastname489,July,9,99,BS IT Entrepreneurship,+639277107161
name490,lastname490,September,2,97,BS Comtech,+639178948484
